Key,Summary,Release Notes,Acceptance Criteria,Priority,Module,Epic
NXT-10101,Verification - Dashboard call-to-actions,,"CTA available for:

* Days until Verification Begins
* Days until Verification Ends

CTAs only show on the dashboard when relevant.

* Begins only shows until the Final Sample date + 1.
* Ends only shows until the Verification End Date + 14.",,Eligibility,
NXT-10244,Accounts - Student Info - Enable Transfer Funds option,,"After selecting a student account the user can select an account to transfer money to.

That field (TransferTo) displays the user's name and ID.

The user can enter an amount to transfer that is less than or equal to the source account balance, greater than 0.01.

Appropriate error handling as described in the story description should exist.

User can back out of a transaction by using Close/Cancel buttons.

Potential Balance should display and change color based on value entered into amount field

A transaction and session are created with these details:
-The transaction date is the current date
-The transaction type is Transfer Out for the source account
-The transaction type is Transfer In for the receiving account
-The comment is saved
-Both accounts have a transaction entered
-The transaction is added to the session

The Transfer Funds button is added to the Quick Preview as well. This button should only show if the account is a Student.",,"Account Management, Eligibility",
NXT-10364,Verification - Sampling - Generate Sample Backend,,"Background mechanism to automate sample creation created and working.
System setting for time added, and used for sample creation.
Future samples should be triggered at the appropriate date.
Past samples should also work properly.

If we're doing this with Rolling Verification in mind, then we need to be sure that we're not oversampling applications - the gathered app number would need to check for a date range starting at the previous sample date + 1, if one exists, up until the new sample date at the timestamp.",,Eligibility,
NXT-10868,Verification - Sampling - Schedule sampling,,"Background mechanism to automate sample creation created and working.
System setting for time added, and used for sample creation.
Future samples should be triggered at the appropriate date.
Past samples should also work properly.

If we're doing this with Rolling Verification in mind, then we need to be sure that we're not oversampling applications - the gathered app number would need to check for a date range starting at the previous sample date + 1, if one exists, up until the new sample date at the timestamp.",,Eligibility,
NXT-10880,Eligibility - Notifications - Household,,"This story is complete when a user can navigate to the Notifications page - Household tab, sees a set of filters that they can use to accurately locate one or more patrons, and then sees a grid with accurate results where they can view letters/labels for one or more patrons in the grid.",,Eligibility,
NXT-10913,Eligibility - Notifications - Page,,"User can access the Notifications page if role permission is assigned
User cannot access the Notification page if the role permission is not applied
User can see 4 distinct tabs for notification types: Applications, Direct Certification, Carryover, and Outreach",,Eligibility,
NXT-10914,Eligibility - Notifications - Direct Certification,,"User has a Direct Certification tab.
User can perform a direct certification search.

User can filter out students that have already been notified.
User can specify a date range to filter the Approval Date.
User has a grid with columns specified",,Eligibility,
NXT-10944,Year Begin - Table Updates,,Users won't log into a system with any broken pages as a result of academic year dependencies.,,"Eligibility, Platform",
NXT-10945,Year Begin - Student Eligibility Updates,,_(none)_,,"Eligibility, Platform",
NXT-10947,Eligibility - Applications - Application Image (Digital),,"User has the option to view the Application Image for an online / manual application while viewing application information/details.
Application Image loads in a preview window with information per the application submission.
User can export the application image to PDF or send to print.
- Any updates / changes to data should not update the actual image.",,Eligibility,
NXT-10949,[SchoolcafeTesting] - Applications - Automatic Processing and Notifications,,"Application processing happens automatically dependent on the system setting

Setting value: Do not auto process
- no applications are automatically processed, they are left in New status

Setting value: All Applications
- all applications are automatically processed provided there are no hard stops

Setting value: All students are identified
- no pending students - all are linked to a student in the DB - then automatically validate the app

Setting value: At least 1 student
- if at least 1 student is linked to a student in the DB, automatically validate",,Eligibility,
NXT-10955,Applications - Sessions - Sessions List,,"User has a page where sessions can be tracked.
User can find sessions by academic year.
User can search for sessions and see details per the requirements.
User can click into sessions to see the summary.",,Eligibility,
NXT-10967,[TaggedDashboard] - Dashboard (Insights) - Eligibility - Application Counts,,"User has an area that shows them the total # of FRE applications received for the current academic year.

User can also see how many of those applications are active - at least 1 student is still gaining eligibility from it as of the current date.

-User has an area where they can see how many paid students have not yet applied for free/reduced benefits.-",,Eligibility,
NXT-10978,Routing Navigation - Eligibility,,_(none)_,,Eligibility,
NXT-11022,Direct Certification - Automation - Household Extensions,,"System uses the settings appropriately to perform DC extensions after every DC match.
System setting values updated from 2,3,4 to 2,3.
Eligibility for the extended student is updated appropriately.
The search for and execution of extensions happens once a day, automatically, if the setting is turned on.",,Eligibility,
NXT-11024,Notifications - SchoolCafe - Automatically send scheduled Applicant Determination Results,,"* Verify that a new automated notifications toggle setting has been added to Eligibility → Notifications according to the specifications above 
* Verify that the setting is disabled by default, and only functions when the automatic processing setting is also enabled
* Verify this new setting also affects categorical apps that may be auto-processed when that other setting is enabled 
* Verify that if there is an active Real Time scheduled notification for the Approval/Denial Notice
** impacted apps, when an email address exist (and not otherwise), will cause the system to trigger an approval/denial notice to be emailed to the app’s contact person, the app to be taken to ‘Notified’ status, and a notification created in the Family Portal
* Verify that the email is sent out at the timing/interval specified in the Notification Scheduling page
* Verify that the system behaves as it currently does when the setting is disabled",,"Eligibility, Platform - Framework",
NXT-11065,Notifications - Family Hub - Application Notification,,"If a notification is triggered for the application and the submission method is ""Online"", SchoolCafe applicant can see the application results (eligibility determination) notification letter.",,"Eligibility, Family Hub",
NXT-11086,Eligibility - Applications - Pending Students - Actions,,"User can see a list of unidentified pending students
User can see a list of potential match students
User can see a list of identified students
User can search for enrolled student record for association and link/match
User can view/edit the details of pending student information to assist with better potential matching opportunities
Multi-language, ADA compliant.",,Eligibility,
NXT-11091,Eligibility - Applications List - Changes,,"User can see the Processed Date as a default column.
User can see the entry method of applications in the list.",,Eligibility,
NXT-11278,Eligibility - Application Processing - UI Adjustments,,"Application Processing has the updated look.
Action panel is floating and on the top right of the screen. Buttons are moved.

User has an option to refuse benefits on the application based on the system setting being set to yes.
- Refused benefit applications are marked as Denied due to Refused Benefits

User can see a count of any added comments.
User can view comments in a side-anchored window.
User can still add comments while processing.",,Eligibility,
NXT-11651,Applications - Details - Forced Check-in,,"User can see if an app is checked out.
User can see who has the app checked out (And when it was checked out, if possible)
User can check the application back in so someone else can process it.",,Eligibility,
NXT-11723,[AcctMgt] - Role Permissions - All pages in module,,"Permissions added for the ENTIRE MODULE, per page, per the attached confluence link. [https://primeroedgenext.atlassian.net/wiki/spaces/NEXT/pages/2274328577/Permissions|https://primeroedgenext.atlassian.net/wiki/spaces/NEXT/pages/2274328577/Permissions|smart-link]",,"Account Management, Eligibility",
NXT-11761,Eligibility - Application Details - Pending / Additional Info,,"User can see the status of a Pending application.

User can see the marked reasons for why that application is Pending.
User can see the selected language of the application.",,Eligibility,
NXT-11762,Eligibility - Application Processing - SSN / Signature Boxes,,"{quote}User can change the box for 'signature'
User can enter / change an SSN or toggle the No SSN box.
-User is aware that pending reasons exist for an application without clicking the Pending button.-{quote}",,Eligibility,
NXT-11763,"Eligibility - DC File Search - Precedence, Effective Dates, Error Messaging",,"User is informed of any precedence issues that will result in no extension of eligibility.
The file matching method takes DC precedence into account.
The file matching method uses the effective date of the DC file to backdate eligibility.

User receives feedback if they haven't entered anything into the search field.",,Eligibility,
NXT-11764,Eligibility - Application Details - Loading Animation,,"User should be shown a loading screen when entering into Application Details, with no sections appearing until the page is fully ready for review.
Existing bar loading animations replaced with spinning animations.",,Eligibility,
NXT-12066,Account Management - Accounts - Update Filter Panel,,"Verify that the Accounts page follows the new layout above, with special attention paid to:

* Filters collapsed by default
* Search field within grid
* Field Search button added
* Columns & Views renamed (if full functionality is not already completed as part of [https://primeroedgenext.atlassian.net/browse/NXT-23302|https://primeroedgenext.atlassian.net/browse/NXT-23302|smart-link]
* Clear Filters button resets user to their Default view (if the story above is completed already) or the default view of the page (if that story is not complete already)",,Eligibility,
NXT-12288,[TaggedNotification] - Eligibility - Notifications - Direct Certification - Exclude previously notified at same eligibility,,User can filter out students who have already been notified at that same Eligibility level.,,Eligibility,
NXT-12289,Direct Certification - File Details - Documents,,"User can see documents in the DC File Details
User can remove existing documents.
User can add additional documents.",,Eligibility,
